ticker,name,asset_class,weight,price,shares,market_value,notional_value,sector,sedol,isin,exchange
MSFT,MICROSOFT CORP,Equity,3.47,137.52,2451271,337098787.92,337098787.92,Information Technology,2588173,US5949181045,NASDAQ
AAPL,APPLE INC,Equity,3.43,223.09,1491865,332812703.53,332812703.53,Information Technology,2046251,US0378331005,NASDAQ
AMZN,AMAZON COM INC,Equity,2.54,1843.55,134034,247098380.7,247098380.7,Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.49,187.47,774500,145195515,145195515,Communication,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.38,211.37,633959,133999913.83,133999913.83,Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.27,117.91,1045282,123249200.62,123249200.62,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.25,1234.25,98492,121563751,121563751,Communication,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.23,1234.97,97038,119839018.86,119839018.86,Communication,BYVY8G0,US02079K3059,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.16,130.43,860899,112287056.57,112287056.57,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.03,177.98,563783,100342098.34,100342098.34,Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.02,71.98,1371875,98747562.5,98747562.5,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.01,122.77,801068,98347118.36,98347118.36,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.93,38.38,2366011,90807502.18,90807502.18,Communication,2831811,US00206R1023,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.86,233.8,357178,83508216.4,83508216.4,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,0.85,29.67,2787640,82709278.8,82709278.8,Financials,2295677,US0605051046,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.83,60.43,1341236,81050891.48,81050891.48,Communication,2090571,US92343V1044,New York Stock Exchange Inc.
